Timestamp,Container,CPU_Perc
1776338066.649205,thesis_project-data_service-1,"50,02"
1776338068.6821692,thesis_project-auth_service-1,"1,53"
1776338070.70572,thesis_project-api_gateway-1,"18,28"
1776338072.715157,thesis_project-user_service-1,"49,84"
1776338074.7273972,thesis_project-data_service-1,"49,78"
1776338076.7322948,thesis_project-auth_service-1,"0,36"
1776338078.746047,thesis_project-api_gateway-1,"50,99"
1776338080.774035,thesis_project-user_service-1,"0,92"
1776338082.78763,thesis_project-data_service-1,"49,73"
1776338084.800412,thesis_project-auth_service-1,"1,00"
1776338086.815009,thesis_project-api_gateway-1,"2,98"
1776338088.8284721,thesis_project-user_service-1,"0,64"
1776338090.845808,thesis_project-data_service-1,"34,00"
1776338091.867266,thesis_project-auth_service-1,"1,45"
1776338093.87341,thesis_project-api_gateway-1,"49,88"
1776338095.880349,thesis_project-user_service-1,"0,54"
1776338097.891804,thesis_project-data_service-1,"50,31"
1776338099.897505,thesis_project-auth_service-1,"0,99"
1776338101.916057,thesis_project-api_gateway-1,"49,86"
1776338103.930721,thesis_project-user_service-1,"0,73"
1776338105.9517288,thesis_project-data_service-1,"49,61"
1776338107.963064,thesis_project-auth_service-1,"0,76"
1776338109.969853,thesis_project-api_gateway-1,"49,97"
1776338111.9808698,thesis_project-user_service-1,"0,50"
1776338113.99605,thesis_project-data_service-1,"5,67"
1776338116.01106,thesis_project-auth_service-1,"0,95"
1776338118.021929,thesis_project-api_gateway-1,"49,59"
1776338120.040195,thesis_project-user_service-1,"0,85"
1776338123.0675468,thesis_project-data_service-1,"53,49"
1776338125.0754502,thesis_project-auth_service-1,"0,79"
1776338127.0773811,thesis_project-api_gateway-1,"50,02"
1776338129.085504,thesis_project-user_service-1,"0,68"
1776338132.108395,thesis_project-data_service-1,"27,69"
1776338134.117611,thesis_project-auth_service-1,"0,43"
1776338136.125153,thesis_project-api_gateway-1,"50,09"
1776338138.135618,thesis_project-user_service-1,"0,88"
1776338140.159863,thesis_project-data_service-1,"17,24"
1776338142.183177,thesis_project-auth_service-1,"0,69"
1776338144.1887538,thesis_project-api_gateway-1,"50,36"
1776338146.204795,thesis_project-user_service-1,"0,72"
1776338148.2231119,thesis_project-data_service-1,"14,95"
1776338150.2290509,thesis_project-auth_service-1,"0,48"
1776338151.2429051,thesis_project-api_gateway-1,"51,55"
1776338153.252553,thesis_project-user_service-1,"0,79"
1776338155.2679958,thesis_project-data_service-1,"30,19"
1776338157.274792,thesis_project-auth_service-1,"0,83"
1776338159.2783182,thesis_project-api_gateway-1,"50,45"
1776338161.286152,thesis_project-user_service-1,"0,58"
1776338163.299574,thesis_project-data_service-1,"8,80"
1776338165.308362,thesis_project-auth_service-1,"1,11"
1776338167.315048,thesis_project-api_gateway-1,"50,14"
1776338169.322465,thesis_project-user_service-1,"0,63"
1776338171.338051,thesis_project-data_service-1,"50,35"
1776338173.350492,thesis_project-auth_service-1,"0,94"
1776338175.360031,thesis_project-api_gateway-1,"49,86"
1776338177.367326,thesis_project-user_service-1,"0,47"
1776338179.3860369,thesis_project-data_service-1,"42,67"
1776338181.407181,thesis_project-auth_service-1,"0,86"
1776338183.418595,thesis_project-api_gateway-1,"49,57"
1776338185.4276218,thesis_project-user_service-1,"0,62"
1776338187.445556,thesis_project-data_service-1,"50,09"
1776338189.4577549,thesis_project-auth_service-1,"1,00"
1776338191.465711,thesis_project-api_gateway-1,"49,57"
1776338193.4768991,thesis_project-user_service-1,"0,67"
1776338195.489246,thesis_project-data_service-1,"23,40"
1776338197.496576,thesis_project-auth_service-1,"0,43"
1776338199.504689,thesis_project-api_gateway-1,"49,82"
1776338201.5212412,thesis_project-user_service-1,"0,63"
1776338203.542597,thesis_project-data_service-1,"49,77"
1776338205.5560699,thesis_project-auth_service-1,"0,68"
1776338207.561873,thesis_project-api_gateway-1,"49,97"
1776338209.579867,thesis_project-user_service-1,"0,54"
1776338212.594508,thesis_project-data_service-1,"32,28"
1776338214.6048079,thesis_project-auth_service-1,"0,67"
1776338216.612625,thesis_project-api_gateway-1,"50,16"
1776338218.618725,thesis_project-user_service-1,"0,57"
1776338220.649278,thesis_project-data_service-1,"9,34"
1776338222.662169,thesis_project-auth_service-1,"0,75"
1776338224.6721752,thesis_project-api_gateway-1,"49,96"
1776338226.679496,thesis_project-user_service-1,"0,61"
1776338228.6992378,thesis_project-data_service-1,"1,35"
1776338230.725365,thesis_project-auth_service-1,"0,75"
1776338232.755508,thesis_project-api_gateway-1,"53,87"
1776338234.76587,thesis_project-user_service-1,"0,54"
1776338236.77388,thesis_project-data_service-1,"28,43"
1776338238.788867,thesis_project-auth_service-1,"0,94"
1776338240.796879,thesis_project-api_gateway-1,"49,95"
1776338242.8260548,thesis_project-user_service-1,"0,90"
1776338244.842484,thesis_project-data_service-1,"23,07"
1776338246.847531,thesis_project-auth_service-1,"0,53"
1776338248.874867,thesis_project-api_gateway-1,"48,20"
1776338250.90428,thesis_project-user_service-1,"1,20"
1776338253.951104,thesis_project-data_service-1,"1,19"
