Timestamp,Container,CPU_Perc
1776261597.845303,thesis_project-api_gateway-1,1.27
1776261599.9407098,thesis_project-user_service-1,0.57
1776261601.9441721,thesis_project-data_service-1,0.37
1776261604.0549161,thesis_project-auth_service-1,1.12
1776261606.101162,thesis_project-api_gateway-1,13.07
1776261608.158611,thesis_project-user_service-1,0.61
1776261610.1770089,thesis_project-data_service-1,15.94
1776261612.1852748,thesis_project-auth_service-1,0.11
1776261614.2126138,thesis_project-api_gateway-1,42.02
1776261616.261848,thesis_project-user_service-1,0.62
1776261618.262982,thesis_project-data_service-1,30.59
1776261620.2730691,thesis_project-auth_service-1,0.06
1776261622.304042,thesis_project-api_gateway-1,48.02
1776261624.322586,thesis_project-user_service-1,0.13
1776261626.3316858,thesis_project-data_service-1,32.05
1776261628.366357,thesis_project-auth_service-1,0.10
1776261631.403278,thesis_project-api_gateway-1,47.95
1776261633.430729,thesis_project-user_service-1,0.12
1776261635.465129,thesis_project-data_service-1,33.14
1776261637.483351,thesis_project-auth_service-1,0.53
1776261640.5043478,thesis_project-api_gateway-1,49.88
1776261642.518328,thesis_project-user_service-1,0.11
1776261644.534837,thesis_project-data_service-1,31.88
1776261646.560758,thesis_project-auth_service-1,0.32
1776261648.670679,thesis_project-api_gateway-1,49.43
1776261650.74788,thesis_project-user_service-1,0.19
1776261652.7571871,thesis_project-data_service-1,25.76
1776261654.758986,thesis_project-auth_service-1,0.08
1776261656.770373,thesis_project-api_gateway-1,49.93
1776261658.791519,thesis_project-user_service-1,0.17
1776261660.801557,thesis_project-data_service-1,29.69
1776261662.808388,thesis_project-auth_service-1,0.11
1776261664.8214421,thesis_project-api_gateway-1,49.33
1776261666.8291252,thesis_project-user_service-1,0.07
1776261668.838818,thesis_project-data_service-1,33.56
1776261670.855179,thesis_project-auth_service-1,0.07
1776261672.871104,thesis_project-api_gateway-1,49.51
1776261674.876095,thesis_project-user_service-1,0.07
1776261676.883026,thesis_project-data_service-1,34.01
1776261678.892894,thesis_project-auth_service-1,0.07
1776261680.9083798,thesis_project-api_gateway-1,49.75
1776261682.914101,thesis_project-user_service-1,0.06
1776261684.925141,thesis_project-data_service-1,30.02
1776261686.9366589,thesis_project-auth_service-1,0.12
1776261689.953123,thesis_project-api_gateway-1,50.32
1776261691.957301,thesis_project-user_service-1,0.09
1776261694.017906,thesis_project-data_service-1,31.99
1776261696.025192,thesis_project-auth_service-1,0.06
1776261698.039053,thesis_project-api_gateway-1,50.35
1776261699.053216,thesis_project-user_service-1,0.13
1776261701.058398,thesis_project-data_service-1,30.54
1776261703.0662808,thesis_project-auth_service-1,0.10
1776261705.08378,thesis_project-api_gateway-1,46.23
1776261707.0915341,thesis_project-user_service-1,0.11
1776261709.106403,thesis_project-data_service-1,33.83
1776261710.117182,thesis_project-auth_service-1,0.07
1776261712.127352,thesis_project-api_gateway-1,49.98
1776261714.1336598,thesis_project-user_service-1,0.07
1776261716.140073,thesis_project-data_service-1,34.78
1776261718.146486,thesis_project-auth_service-1,0.07
1776261721.1633012,thesis_project-api_gateway-1,50.09
1776261723.1745129,thesis_project-user_service-1,0.11
1776261725.1898649,thesis_project-data_service-1,33.60
1776261727.193032,thesis_project-auth_service-1,0.07
1776261730.216415,thesis_project-api_gateway-1,49.87
1776261732.2204428,thesis_project-user_service-1,0.07
1776261734.232248,thesis_project-data_service-1,28.90
1776261736.241524,thesis_project-auth_service-1,0.07
1776261738.252596,thesis_project-api_gateway-1,49.98
1776261740.2618392,thesis_project-user_service-1,0.11
1776261742.269314,thesis_project-data_service-1,32.72
1776261744.27519,thesis_project-auth_service-1,0.07
1776261746.288664,thesis_project-api_gateway-1,48.15
1776261748.2939909,thesis_project-user_service-1,0.08
1776261749.304058,thesis_project-data_service-1,32.59
1776261751.312937,thesis_project-auth_service-1,0.07
1776261753.3225222,thesis_project-api_gateway-1,49.97
1776261755.368267,thesis_project-user_service-1,0.39
1776261757.364605,thesis_project-data_service-1,31.30
1776261759.374651,thesis_project-auth_service-1,0.07
1776261761.4327092,thesis_project-api_gateway-1,48.16
1776261763.441813,thesis_project-user_service-1,0.06
1776261765.454543,thesis_project-data_service-1,35.73
1776261767.460404,thesis_project-auth_service-1,0.11
1776261769.476156,thesis_project-api_gateway-1,50.02
1776261771.482827,thesis_project-user_service-1,0.09
1776261773.486999,thesis_project-data_service-1,31.81
1776261775.492394,thesis_project-auth_service-1,0.06
1776261777.502242,thesis_project-api_gateway-1,43.81
1776261779.5368059,thesis_project-user_service-1,0.07
1776261781.552659,thesis_project-data_service-1,20.16
1776261783.56009,thesis_project-auth_service-1,0.07
1776261785.574892,thesis_project-api_gateway-1,14.29
1776261787.586717,thesis_project-user_service-1,0.24
1776261789.6160169,thesis_project-data_service-1,0.23
1776261791.63058,thesis_project-auth_service-1,0.24
1776261793.656241,thesis_project-api_gateway-1,0.21
1776261795.671114,thesis_project-user_service-1,0.27
1776261797.683278,thesis_project-data_service-1,0.23
1776261798.7023308,thesis_project-auth_service-1,0.26
1776261800.726593,thesis_project-api_gateway-1,0.24
1776261802.740247,thesis_project-user_service-1,0.18
1776261804.7545018,thesis_project-data_service-1,0.27
1776261806.7655308,thesis_project-auth_service-1,0.71
1776261808.802656,thesis_project-api_gateway-1,0.33
1776261810.823715,thesis_project-user_service-1,0.33
1776261812.831382,thesis_project-data_service-1,0.25
1776261814.844225,thesis_project-auth_service-1,0.23
1776261816.863359,thesis_project-api_gateway-1,0.35
1776261818.88546,thesis_project-user_service-1,0.25
1776261820.910986,thesis_project-data_service-1,0.24
1776261822.924287,thesis_project-auth_service-1,0.23
1776261824.9511302,thesis_project-api_gateway-1,0.28
1776261826.964867,thesis_project-user_service-1,0.21
1776261828.9840581,thesis_project-data_service-1,0.21
1776261831.005258,thesis_project-auth_service-1,0.33
1776261833.031082,thesis_project-api_gateway-1,0.69
1776261835.0525959,thesis_project-user_service-1,0.30
1776261837.08113,thesis_project-data_service-1,0.24
1776261839.1161652,thesis_project-auth_service-1,0.26
1776261841.137075,thesis_project-api_gateway-1,0.25
1776261843.147192,thesis_project-user_service-1,0.28
1776261845.156627,thesis_project-data_service-1,0.25
1776261847.172847,thesis_project-auth_service-1,0.20
1776261849.206018,thesis_project-api_gateway-1,0.28
1776261851.228124,thesis_project-user_service-1,0.25
1776261853.243516,thesis_project-data_service-1,0.39
1776261855.2539399,thesis_project-auth_service-1,0.24
1776261857.278069,thesis_project-api_gateway-1,0.21
1776261859.307536,thesis_project-user_service-1,0.24
1776261861.3194098,thesis_project-data_service-1,0.35
1776261863.3266392,thesis_project-auth_service-1,0.29
1776261865.344043,thesis_project-api_gateway-1,0.25
1776261867.359085,thesis_project-user_service-1,0.40
1776261869.3897338,thesis_project-data_service-1,0.21
1776261871.406698,thesis_project-auth_service-1,0.27
1776261873.4275389,thesis_project-api_gateway-1,0.23
1776261875.4382489,thesis_project-user_service-1,0.17
1776261877.446416,thesis_project-data_service-1,0.25
1776261879.4701388,thesis_project-auth_service-1,0.22
1776261881.497943,thesis_project-api_gateway-1,0.26
1776261883.517282,thesis_project-user_service-1,0.22
1776261885.532917,thesis_project-data_service-1,0.23
1776261887.542815,thesis_project-auth_service-1,0.21
1776261890.575333,thesis_project-api_gateway-1,0.19
1776261892.591327,thesis_project-user_service-1,0.23
1776261894.597962,thesis_project-data_service-1,0.23
1776261896.607358,thesis_project-auth_service-1,0.25
1776261899.639214,thesis_project-api_gateway-1,0.27
1776261900.654272,thesis_project-user_service-1,0.23
1776261902.6641731,thesis_project-data_service-1,0.24
1776261904.685451,thesis_project-auth_service-1,0.21
1776261906.706097,thesis_project-api_gateway-1,0.20
1776261908.7277582,thesis_project-user_service-1,0.20
1776261909.7463849,thesis_project-data_service-1,0.18
1776261911.757418,thesis_project-auth_service-1,0.21
1776261913.7738528,thesis_project-api_gateway-1,0.25
1776261915.792931,thesis_project-user_service-1,0.21
1776261917.812002,thesis_project-data_service-1,0.20
1776261919.854859,thesis_project-auth_service-1,0.24
1776261921.8776078,thesis_project-api_gateway-1,0.49
1776261923.8881311,thesis_project-user_service-1,0.23
1776261925.901176,thesis_project-data_service-1,0.21
1776261927.913541,thesis_project-auth_service-1,0.19
1776261929.940138,thesis_project-api_gateway-1,0.27
1776261931.951693,thesis_project-user_service-1,0.25
1776261933.959927,thesis_project-data_service-1,0.34
1776261935.9681878,thesis_project-auth_service-1,0.18
1776261938.002434,thesis_project-api_gateway-1,0.19
1776261940.02788,thesis_project-user_service-1,0.20
1776261942.041057,thesis_project-data_service-1,0.20
1776261944.0484679,thesis_project-auth_service-1,0.20
1776261946.07054,thesis_project-api_gateway-1,0.22
1776261948.08364,thesis_project-user_service-1,0.20
1776261950.120589,thesis_project-data_service-1,0.21
1776261952.134348,thesis_project-auth_service-1,0.22
1776261954.157386,thesis_project-api_gateway-1,0.22
1776261956.1765919,thesis_project-user_service-1,0.32
1776261958.195694,thesis_project-data_service-1,0.23
1776261960.2324932,thesis_project-auth_service-1,0.23
1776261962.258837,thesis_project-api_gateway-1,0.38
1776261964.273705,thesis_project-user_service-1,0.22
1776261966.284769,thesis_project-data_service-1,0.22
1776261968.3192809,thesis_project-auth_service-1,0.18
1776261970.3600378,thesis_project-api_gateway-1,0.22
1776261972.373327,thesis_project-user_service-1,0.22
1776261974.387077,thesis_project-data_service-1,0.21
1776261976.397939,thesis_project-auth_service-1,0.28
1776261978.428492,thesis_project-api_gateway-1,0.21
1776261979.456297,thesis_project-user_service-1,0.22
1776261981.480278,thesis_project-data_service-1,0.28
1776261983.495184,thesis_project-auth_service-1,0.21
1776261985.521813,thesis_project-api_gateway-1,0.25
1776261987.537654,thesis_project-user_service-1,0.17
1776261989.565042,thesis_project-data_service-1,0.21
1776261991.579421,thesis_project-auth_service-1,0.18
1776261993.6014972,thesis_project-api_gateway-1,0.20
1776261995.629205,thesis_project-user_service-1,0.21
1776261997.649719,thesis_project-data_service-1,0.22
1776261999.686856,thesis_project-auth_service-1,0.23
1776262001.712692,thesis_project-api_gateway-1,0.23
1776262003.731561,thesis_project-user_service-1,0.20
1776262005.751381,thesis_project-data_service-1,0.26
1776262007.767887,thesis_project-auth_service-1,0.20
1776262009.809471,thesis_project-api_gateway-1,0.24
1776262011.823564,thesis_project-user_service-1,1.13
1776262013.84625,thesis_project-data_service-1,1.51
1776262015.871007,thesis_project-auth_service-1,0.15
1776262017.905518,thesis_project-api_gateway-1,1.55
1776262019.967264,thesis_project-user_service-1,0.26
1776262021.9830542,thesis_project-data_service-1,0.35
1776262023.999201,thesis_project-auth_service-1,0.25
1776262026.028516,thesis_project-api_gateway-1,0.21
1776262028.046418,thesis_project-user_service-1,0.19
1776262030.086211,thesis_project-data_service-1,0.18
1776262032.1010659,thesis_project-auth_service-1,0.20
1776262034.130801,thesis_project-api_gateway-1,0.23
1776262036.1506639,thesis_project-user_service-1,0.31
1776262038.166104,thesis_project-data_service-1,0.22
1776262040.2069938,thesis_project-auth_service-1,0.24
1776262042.2286332,thesis_project-api_gateway-1,0.21
1776262044.242147,thesis_project-user_service-1,0.21
1776262046.255381,thesis_project-data_service-1,0.20
1776262048.266582,thesis_project-auth_service-1,0.21
1776262050.299196,thesis_project-api_gateway-1,0.22
1776262052.3195362,thesis_project-user_service-1,0.19
1776262054.337666,thesis_project-data_service-1,0.20
