Timestamp,Container,CPU_Perc
1776423053.951615,thesis_project-user_service-1,"0,49"
1776423055.965253,thesis_project-api_gateway-1,"3,09"
1776423057.989286,thesis_project-auth_service-1,"0,58"
1776423060.0029728,thesis_project-data_service-1,"3,20"
1776423062.026036,thesis_project-user_service-1,"0,21"
1776423064.056719,thesis_project-api_gateway-1,"5,34"
1776423066.066746,thesis_project-auth_service-1,"0,21"
1776423068.0770109,thesis_project-data_service-1,"4,55"
1776423070.103953,thesis_project-user_service-1,"0,22"
1776423072.1183841,thesis_project-api_gateway-1,"9,48"
1776423073.13953,thesis_project-auth_service-1,"0,17"
1776423075.156037,thesis_project-data_service-1,"9,61"
1776423077.173463,thesis_project-user_service-1,"0,14"
1776423079.190942,thesis_project-api_gateway-1,"12,00"
1776423081.2024472,thesis_project-auth_service-1,"0,13"
1776423083.2219741,thesis_project-data_service-1,"11,89"
1776423085.2372491,thesis_project-user_service-1,"0,14"
1776423087.244261,thesis_project-api_gateway-1,"13,91"
1776423089.25153,thesis_project-auth_service-1,"0,12"
1776423091.25652,thesis_project-data_service-1,"11,45"
1776423094.276431,thesis_project-user_service-1,"0,19"
1776423096.288619,thesis_project-api_gateway-1,"13,38"
1776423098.2967901,thesis_project-auth_service-1,"0,18"
1776423100.305772,thesis_project-data_service-1,"11,64"
1776423102.3239172,thesis_project-user_service-1,"0,13"
1776423104.3560262,thesis_project-api_gateway-1,"12,33"
1776423106.369487,thesis_project-auth_service-1,"0,20"
1776423108.378437,thesis_project-data_service-1,"10,61"
1776423110.394836,thesis_project-user_service-1,"0,16"
1776423112.409457,thesis_project-api_gateway-1,"14,29"
1776423114.432517,thesis_project-auth_service-1,"0,15"
1776423116.440764,thesis_project-data_service-1,"10,77"
1776423118.455256,thesis_project-user_service-1,"0,14"
1776423120.466605,thesis_project-api_gateway-1,"12,94"
1776423122.4987788,thesis_project-auth_service-1,"0,18"
1776423124.5197709,thesis_project-data_service-1,"11,40"
1776423126.536961,thesis_project-user_service-1,"0,18"
1776423128.544356,thesis_project-api_gateway-1,"13,08"
1776423130.550785,thesis_project-auth_service-1,"0,15"
1776423132.555122,thesis_project-data_service-1,"9,43"
1776423134.574668,thesis_project-user_service-1,"0,13"
1776423136.5915341,thesis_project-api_gateway-1,"13,46"
1776423138.605525,thesis_project-auth_service-1,"0,15"
1776423140.6145012,thesis_project-data_service-1,"11,67"
1776423142.641118,thesis_project-user_service-1,"0,15"
1776423143.679467,thesis_project-api_gateway-1,"12,83"
1776423145.6955469,thesis_project-auth_service-1,"0,15"
1776423147.707783,thesis_project-data_service-1,"11,30"
1776423149.7219,thesis_project-user_service-1,"0,16"
1776423151.730624,thesis_project-api_gateway-1,"11,15"
1776423153.745816,thesis_project-auth_service-1,"0,14"
1776423155.762217,thesis_project-data_service-1,"11,82"
1776423157.777075,thesis_project-user_service-1,"0,18"
1776423159.7876759,thesis_project-api_gateway-1,"13,61"
1776423161.798042,thesis_project-auth_service-1,"0,19"
1776423163.817847,thesis_project-data_service-1,"11,62"
1776423165.836787,thesis_project-user_service-1,"0,24"
1776423167.845419,thesis_project-api_gateway-1,"13,65"
1776423169.850726,thesis_project-auth_service-1,"0,18"
1776423171.859806,thesis_project-data_service-1,"9,14"
1776423173.88556,thesis_project-user_service-1,"0,16"
1776423175.896565,thesis_project-api_gateway-1,"12,21"
1776423177.903768,thesis_project-auth_service-1,"0,17"
1776423179.910772,thesis_project-data_service-1,"10,57"
1776423181.928545,thesis_project-user_service-1,"0,16"
1776423183.9549282,thesis_project-api_gateway-1,"13,58"
1776423185.9658399,thesis_project-auth_service-1,"0,12"
1776423187.976971,thesis_project-data_service-1,"10,87"
1776423189.9938931,thesis_project-user_service-1,"0,19"
1776423192.0007098,thesis_project-api_gateway-1,"11,87"
1776423194.019134,thesis_project-auth_service-1,"0,21"
1776423196.034616,thesis_project-data_service-1,"11,07"
1776423198.0552452,thesis_project-user_service-1,"0,16"
1776423200.071651,thesis_project-api_gateway-1,"12,23"
1776423202.0838678,thesis_project-auth_service-1,"0,22"
1776423204.102556,thesis_project-data_service-1,"10,81"
1776423206.115621,thesis_project-user_service-1,"0,19"
1776423208.12112,thesis_project-api_gateway-1,"8,71"
1776423210.13023,thesis_project-auth_service-1,"0,16"
1776423212.152163,thesis_project-data_service-1,"8,62"
1776423214.1783192,thesis_project-user_service-1,"0,15"
1776423216.193177,thesis_project-api_gateway-1,"9,10"
1776423218.199231,thesis_project-auth_service-1,"0,18"
1776423220.2124119,thesis_project-data_service-1,"6,83"
1776423222.234675,thesis_project-user_service-1,"0,25"
1776423224.271146,thesis_project-api_gateway-1,"6,29"
1776423226.2809658,thesis_project-auth_service-1,"0,20"
1776423228.2962902,thesis_project-data_service-1,"3,86"
1776423230.32079,thesis_project-user_service-1,"0,27"
1776423232.338293,thesis_project-api_gateway-1,"3,30"
1776423234.36631,thesis_project-auth_service-1,"0,26"
1776423236.3769941,thesis_project-data_service-1,"0,32"
